应用名称;原文档中的应用地址;实际访问的应用地址;访问地址是否等于文档所给地址;访问状态;应用在政务网是否存在;应用名称与页面是否匹配;截图相对路径
二级注册建筑师执业资格认定（注销注册）;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=http://zcry.gsszczx.com:84/ciacuserportalxcryweb/SSO/logings.aspx?zczylx=jzs&action=zxzc;http://zcry.gsszczx.com:84/ciacuserportalxcryweb/Gryh/GsLoginMsg?code=%e6%9d%8e%e9%87%8d%e9%98%b3140522199511010014;不一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\二级注册建筑师执业资格认定（注销注册）.png;
军地养老保险关系转移接续申请;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014006017/002014006017;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014006017/002014006017;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\军地养老保险关系转移接续申请.png;
分公司变更登记;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300007;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300007;一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\分公司变更登记.png;
异地转诊人员备案;https://ybdzpz.ylbz.gansu.gov.cn/hsa-local-prod/web/hallEnter/?channel=zwfw&toPath=OffsetRecord&type=1;https://ybdzpz.ylbz.gansu.gov.cn/hsa-local-prod/web/hallPersonal/#/OffsetRecord;不一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\异地转诊人员备案.png;
外国企业常驻代表机构变更;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100700002;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govUnRegLogin.do?sid=11620000MB1663770A200013100700002&authCode=RFeDGtrZb5P4dozw5XqQiVshaG2fRT62jZ&ticket=naturalTicketBj8SszMsOumO9f04DTf9xA29zlsPiZLE&state=-1935300425;不一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\外国企业常驻代表机构变更.png;
赴台乘务签注签发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e0;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e0;一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\赴台乘务签注签发.png;
异地居住就医申请确认;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007012/002014007012;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007012/002014007012;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\异地居住就医申请确认.png;
对自考合格课程跨省转出的确认;http://jyt.gansu.gov.cn/online_apply/index.xhtml;http://jyt.gansu.gov.cn/online_apply/index.xhtml;一致;412;应用存在;None;pics\2022_06_07_21_00_00\对自考合格课程跨省转出的确认.png;
地图审核审批;https://zwfw.gansu.gov.cn/gsjis/natural/newJAdByContry?LinkAddr=http://36.142.15.6:11111/diit-qdyjj-web/login/loginTrust?taskCode=11620000MB1674680L2000115035000&TaskHandleItem=11620000MB1674680L200011503500001;http://36.142.15.6:11111/diit-qdyjj-web/xjzwfw/zwfw/iframepagedemo.jsp;不一致;302;应用存在;None;pics\2022_06_07_21_00_00\地图审核审批.png;
参保人员参保信息查询;https://ybdzpz.ylbz.gansu.gov.cn/hsa-local-prod/web/hallEnter/?channel=zwfw&toPath=MedicalTreatment&type=1;https://ybdzpz.ylbz.gansu.gov.cn/hsa-local-prod/web/hallPersonal/#/MedicalTreatment;不一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\参保人员参保信息查询.png;
环境影响评价工程师;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\环境影响评价工程师.png;
甘肃省自然科学奖;https://xm.gskeju.cn;https://xm.gskeju.cn/egrantweb/;不一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\甘肃省自然科学奖.png;
船舶安全检验证书核发(营运检验);https://jtzw.gstscc.cn/zwfwbl/pages/matters/notice.html?taskCode=1162000001389791022000118044000&taskType=01&taskHandleItem=116200000138979102200011804400002;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_21_00_00\船舶安全检验证书核发(营运检验).png;
在公路周边一定范围内因抢险、防汛需要修筑堤坝、压缩或者拓宽河床许可;https://jtzw.gstscc.cn/zwfwbl/pages/matters/notice.html?taskCode=1162000001389791022000118033000&taskType=01&taskHandleItem=116200000138979102200011803300001;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_21_00_00\在公路周边一定范围内因抢险、防汛需要修筑堤坝、压缩或者拓宽河床许可.png;
高等学校教师资格认定;https://www.jszg.edu.cn/portal/home/index;https://www.jszg.edu.cn/portal/home/index;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\高等学校教师资格认定.png;
实有房屋信息自主填报;https://zwfw.gat.gansu.gov.cn/instruction?taskCode=11620000013897638U2622009049000&taskHandleitem=;https://zwfw.gat.gansu.gov.cn/instruction?taskCode=11620000013897638U2622009049000&taskHandleitem=;一致;404;应用存在;None;pics\2022_06_07_21_00_00\实有房屋信息自主填报.png;
往来港澳逗留签注签发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\往来港澳逗留签注签发.png;
对保护航标单位和个人的奖励;https://jtzw.gstscc.cn/zwfwbl/pages/matters/notice.html?taskCode=1162000001389791022000818001000&taskType=08&taskHandleItem=116200000138979102200081800100001;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_21_00_00\对保护航标单位和个人的奖励.png;
地质灾害防治工作中做出突出贡献奖励;https://zwfw.gansu.gov.cn/gsjis/natural/newJAdByContry?LinkAddr=http://36.142.15.6:11111/diit-qdyjj-web/login/loginTrust?taskCode=11620000MB1674680L2000815005000&TaskHandleItem=11620000MB1674680L200081500500001;http://36.142.15.6:11111/diit-qdyjj-web/xjzwfw/zwfw/iframepagedemo.jsp;不一致;302;应用存在;None;pics\2022_06_07_21_00_00\地质灾害防治工作中做出突出贡献奖励.png;
普通护照首次申请;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa80ebb20688;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa80ebb20688;一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\普通护照首次申请.png;
往来港澳商务签注签发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\往来港澳商务签注签发.png;
档案材料的收集、鉴别和归档;http://36.142.15.42:8088/ggfw/business?modelId=agArchCollectForGovPerUC&clientId=3;http://36.142.15.42:8088/ggfw/business?modelId=agArchCollectForGovPerUC&clientId=3&authCode=RFeDGtrZb5P4dozw5XqQiVshaG2fRT62jZ&ticket=naturalTicketp1s0FBmGkp4KPMnBuaGE7XDQEfZ2KnJD&state=-1595296384;不一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\档案材料的收集、鉴别和归档.png;
船员培训合格证书签发;http://111.205.224.41:8004/crew_dce/pub/contentIframe.action?d=a0431fc0-be63-4c01-960d-9f77aa1ed113;http://111.205.224.41:8004/crew_dce/pub/contentIframe.action?d=1dab5a17-bf12-4398-b46d-f5daae9f33f7;不一致;302;应用存在;None;pics\2022_06_07_21_00_00\船员培训合格证书签发.png;
对测绘成果管理工作的奖励;https://zwfw.gansu.gov.cn/gsjis/natural/newJAdByContry?LinkAddr=http://36.142.15.6:11111/diit-qdyjj-web/login/loginTrust?taskCode=11620000MB1674680L2000815013000&TaskHandleItem=11620000MB1674680L200081501300001;http://36.142.15.6:11111/diit-qdyjj-web/xjzwfw/zwfw/iframepagedemo.jsp;不一致;302;应用存在;None;pics\2022_06_07_21_00_00\对测绘成果管理工作的奖励.png;
外国企业常驻代表机构设立;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100700001;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govUnRegLogin.do?sid=11620000MB1663770A200013100700001&authCode=RFeDGtrZb5P4dozw5XqQiVshaG2fRT62jZ&ticket=naturalTicketXrB1JBzmV9NXPGwRsxwOTWirsct8cca7&state=539260085;不一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\外国企业常驻代表机构设立.png;
办理机动车业务网上委托;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\办理机动车业务网上委托.png;
甘肃电力-用电用户其他办电项目-暂换;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1;https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1&code=90000&ticket=naturalTicket49142282298921117583671871497072&authCode=RFeDGtrZb5P4dozw5XqQiVshaG2fRT62jZ&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\甘肃电力-用电用户其他办电项目-暂换.png;
一级注册计量师、二级注册计量师;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\一级注册计量师、二级注册计量师.png;
分公司注销登记;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300008;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govUnRegLogin.do?sid=11620000MB1663770A200013100300008&authCode=RFeDGtrZb5P4dozw5XqQiVshaG2fRT62jZ&ticket=naturalTicketlkiQ9aqlS0c6Jkph1laIT42ccl6fdobq&state=701608303;不一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\分公司注销登记.png;
工程咨询（投资）专业技术人员职业资格;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\工程咨询（投资）专业技术人员职业资格.png;
占用、挖掘公路、公路用地或者使公路改线审批;https://jtzw.gstscc.cn/zwfwbl/pages/matters/notice.html?taskCode=1162000001389791022000118007000&taskType=01&taskHandleItem=116200000138979102200011800700001;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_21_00_00\占用、挖掘公路、公路用地或者使公路改线审批.png;
企业退休人员领取养老待遇资格认证;http://www.12333.gov.cn/ggfwstatic/download/app.html;http://www.12333.gov.cn/ggfwstatic/download/app.html;一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\企业退休人员领取养老待遇资格认证.png;
